CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male,Churn_Probability,Risk_Level,CustomerId
475,45,0,134264.04,1,1,0,27822.99,1,False,False,False,0.46,Medium,15794171
490,31,3,145260.23,1,0,1,114066.77,0,False,True,True,0.04,Low,15788448
804,33,7,76548.6,1,0,1,98453.45,0,False,True,True,0.0,,15729599
850,36,7,0.0,1,1,1,40812.9,0,False,False,True,0.05,Low,15717426
582,41,6,70349.48,2,0,1,178074.04,0,True,False,True,0.07,Low,15585768
472,40,4,0.0,1,1,0,70154.22,0,False,True,True,0.13,Low,15619360
465,51,8,122522.32,1,0,0,181297.65,1,False,False,False,0.93,High,15738148
556,61,2,117419.35,1,1,1,94153.83,0,False,False,False,0.08,Low,15687946
834,49,2,131394.56,1,0,0,194365.76,1,False,False,False,0.88,High,15755196
660,61,5,155931.11,1,1,1,158338.39,0,False,True,False,0.12,Low,15684171
776,32,4,109421.13,2,1,1,126517.46,0,True,False,False,0.08,Low,15754849
829,27,9,112045.67,1,1,1,119708.21,1,True,False,False,0.73,High,15602280
637,39,9,137843.8,1,1,1,117622.8,1,True,False,False,0.5,Medium,15771573
550,38,2,103391.38,1,0,1,90878.13,0,True,False,True,0.08,Low,15766205
776,37,2,103769.22,2,1,0,194099.12,0,True,False,False,0.13,Low,15771873
698,44,10,116363.37,2,1,0,198059.16,0,True,False,True,0.3,Low,15616550
585,36,5,146050.97,2,0,0,86424.57,0,True,False,True,0.05,Low,15768193
788,33,5,0.0,2,0,0,116978.19,0,False,False,False,0.01,Low,15683553
655,41,8,125561.97,1,0,0,164040.94,1,True,False,True,0.73,High,15702298
601,42,1,98495.72,1,1,0,40014.76,1,True,False,True,0.89,High,15569590
619,43,1,125211.92,1,1,1,113410.49,0,False,False,True,0.13,Low,15760861
656,45,5,127864.4,1,1,0,87107.57,0,False,False,True,0.07,Low,15630053
725,19,0,75888.2,1,0,0,45613.75,0,True,False,True,0.05,Low,15647091
511,66,4,0.0,1,1,0,1643.11,1,False,True,False,0.6,Medium,15623944
614,51,4,40685.92,1,1,1,46775.28,0,False,False,True,0.33,Medium,15804771
742,35,5,136857.0,1,0,0,84509.57,0,True,False,True,0.14,Low,15651280
687,27,9,152328.88,2,0,0,126494.82,0,True,False,False,0.04,Low,15773469
555,33,1,56084.69,2,0,0,178798.13,0,False,True,True,0.07,Low,15702014
684,56,8,78707.16,1,1,1,99398.36,0,False,True,True,0.12,Low,15751208
603,26,4,109166.37,1,1,1,92840.67,0,True,False,True,0.01,Low,15592461
751,36,6,169831.46,2,1,1,27758.36,0,True,False,False,0.02,Low,15789484
581,34,1,101633.04,1,1,0,110431.51,0,True,False,False,0.12,Low,15696061
735,43,10,123180.01,2,1,1,196673.28,0,True,False,True,0.05,Low,15641582
661,35,5,150725.53,2,0,1,113656.85,0,True,False,False,0.02,Low,15638424
675,21,8,98373.26,1,1,0,18203.0,0,False,False,False,0.04,Low,15755648
738,58,2,133745.44,4,1,0,28373.86,1,True,False,True,0.97,High,15703793
813,29,6,0.0,1,1,0,33953.87,0,False,False,True,0.03,Low,15620344
657,37,0,163607.18,1,0,1,44203.55,0,False,True,False,0.04,Low,15812518
604,25,5,157780.84,2,1,1,58426.81,0,True,False,False,0.01,Low,15779052
519,36,9,0.0,2,0,1,145562.4,0,False,False,True,0.0,,15770811
735,21,1,178718.19,2,1,0,22388.0,0,False,False,False,0.05,Low,15780961
664,55,8,0.0,2,1,1,139161.64,0,False,False,True,0.05,Low,15614049
678,32,9,0.0,1,1,1,148210.64,0,False,False,False,0.03,Low,15662085
757,33,5,77253.22,1,0,1,194239.63,0,False,True,True,0.03,Low,15575185
416,41,10,122189.66,2,1,0,98301.61,0,True,False,False,0.19,Low,15803136
665,34,1,96645.54,2,0,0,171413.66,0,False,False,False,0.03,Low,15706021
777,32,2,0.0,1,1,0,136458.19,1,False,False,False,0.72,High,15663706
543,36,3,0.0,2,0,0,26019.59,0,False,False,False,0.03,Low,15641732
506,34,4,90307.62,1,1,1,159235.29,0,False,False,False,0.04,Low,15701164
493,46,4,0.0,2,1,0,1907.66,0,False,False,False,0.06,Low,15738751
652,75,10,0.0,2,1,1,114675.75,0,False,True,False,0.0,,15805254
750,22,3,121681.82,1,1,0,128643.35,1,False,True,True,0.67,Medium,15762418
729,30,9,0.0,2,1,0,151869.35,0,False,False,True,0.01,Low,15625759
646,46,4,0.0,3,1,0,93251.42,1,False,False,False,0.83,High,15622897
635,28,3,81623.67,2,1,1,156791.36,0,True,False,False,0.01,Low,15767954
647,44,5,0.0,3,1,1,174205.22,1,False,True,False,0.98,High,15757535
808,45,7,118626.55,2,1,0,147132.46,0,False,False,True,0.15,Low,15731511
524,36,10,0.0,2,1,0,109614.57,0,False,False,False,0.05,Low,15809248
769,29,8,0.0,2,1,1,172290.61,0,False,False,True,0.0,,15640635
730,42,4,0.0,2,0,1,85982.47,0,False,True,True,0.0,,15676966
515,35,10,176273.95,1,0,1,121277.78,0,False,True,True,0.12,Low,15699461
773,41,9,102827.44,1,0,1,64595.25,0,False,True,True,0.04,Low,15738721
814,29,8,97086.4,2,1,1,197276.13,0,True,False,True,0.02,Low,15693683
710,22,8,0.0,2,0,0,99645.04,0,False,True,True,0.0,,15604348
413,34,9,0.0,2,0,0,6534.18,0,False,False,True,0.0,,15633059
665,40,6,0.0,1,1,1,161848.03,0,False,False,False,0.08,Low,15808582
623,44,6,0.0,2,0,0,167162.43,0,False,False,False,0.24,Low,15743192
738,31,9,82674.15,1,1,0,41970.72,0,False,False,True,0.02,Low,15580146
528,36,7,0.0,2,1,0,60536.56,0,False,True,True,0.02,Low,15776605
670,65,1,0.0,1,1,1,177655.68,1,False,True,False,0.65,Medium,15804919
622,46,4,107073.27,2,1,1,30984.59,1,False,True,False,0.72,High,15613854
582,32,1,88938.62,1,1,1,10054.53,0,True,False,True,0.08,Low,15599195
785,36,2,99806.85,1,0,1,36976.52,0,True,False,False,0.43,Medium,15812878
605,33,5,150092.8,1,0,0,71862.79,0,False,True,True,0.05,Low,15602312
479,35,9,92833.89,1,1,0,99449.86,1,True,False,True,0.75,High,15744689
685,30,3,90536.81,1,0,1,63082.88,0,True,False,True,0.02,Low,15803526
538,39,7,108055.1,2,1,0,27231.26,0,True,False,True,0.05,Low,15665790
562,42,2,100238.35,1,0,0,86797.41,0,False,False,True,0.13,Low,15715951
675,36,9,106190.55,1,0,1,22994.32,0,False,True,True,0.0,,15591100
721,28,9,154475.54,2,0,1,101300.94,1,True,False,True,0.66,Medium,15609618
628,30,9,132351.29,2,1,1,74169.13,0,True,False,False,0.0,,15675522
668,37,6,167864.4,1,1,0,115638.29,0,True,False,False,0.02,Low,15705512
506,41,1,0.0,2,1,0,31766.3,0,False,False,False,0.02,Low,15698028
524,31,8,107818.63,1,1,0,199725.39,1,True,False,False,0.82,High,15661670
699,34,4,185173.81,2,1,0,120834.48,0,True,False,True,0.03,Low,15600781
828,34,8,129433.34,2,0,0,38131.77,0,False,False,True,0.06,Low,15682472
674,39,6,120193.42,1,0,0,100130.95,0,False,True,True,0.03,Low,15580203
656,39,6,0.0,2,1,0,141069.88,0,False,False,False,0.0,,15690673
684,48,10,126384.42,1,1,1,198129.36,0,True,False,False,0.11,Low,15760085
625,28,3,0.0,1,0,0,183646.41,0,False,False,False,0.16,Low,15779659
432,42,9,152603.45,1,1,0,110265.24,1,False,False,True,0.82,High,15627360
549,52,1,0.0,1,0,1,8636.05,1,False,False,False,0.92,High,15671137
625,56,0,148507.24,1,1,0,46824.08,1,True,False,True,0.95,High,15782688
828,41,7,0.0,2,1,0,171378.77,0,False,False,False,0.09,Low,15575492
770,24,9,101827.07,1,1,0,167256.35,0,False,False,True,0.01,Low,15591607
758,34,3,0.0,2,1,1,124226.16,0,False,False,False,0.0,,15740404
795,33,9,130862.43,1,1,1,114935.21,0,True,False,False,0.64,Medium,15718369
687,38,9,122570.87,1,1,1,35608.88,0,False,False,True,0.08,Low,15677871
686,25,1,0.0,2,0,1,16459.37,0,False,False,True,0.01,Low,15642004
789,39,7,124828.46,2,1,1,124411.08,0,True,False,True,0.02,Low,15712543
589,50,5,144895.05,2,1,1,34941.23,0,True,False,False,0.38,Medium,15584518
461,34,5,63663.93,1,0,1,167784.28,0,True,False,False,0.1,Low,15802381
637,40,2,133463.1,1,0,1,93165.34,0,False,False,True,0.09,Low,15610156
584,48,2,213146.2,1,1,0,75161.25,1,False,True,False,0.78,High,15594408
579,35,1,129490.36,2,0,1,8590.83,1,False,True,False,0.58,Medium,15640905
756,44,10,137452.09,1,1,0,189543.9,0,True,False,True,0.21,Low,15698932
663,34,7,0.0,2,1,1,180427.24,0,False,False,True,0.0,,15724944
682,43,5,125851.93,1,1,1,193318.33,0,False,False,False,0.1,Low,15628145
793,52,2,0.0,1,1,0,159123.82,1,False,True,True,0.94,High,15713483
691,31,5,40915.55,1,1,0,126213.84,1,False,False,False,0.4,Medium,15612350
485,21,5,113157.22,1,1,1,54141.5,0,False,True,False,0.02,Low,15800703
635,29,8,138296.94,2,1,0,141075.51,0,False,True,False,0.05,Low,15705707
650,37,5,106967.18,1,0,0,24495.03,0,False,False,True,0.04,Low,15754105
735,44,9,120681.63,1,1,0,74836.34,0,False,False,True,0.05,Low,15703264
416,32,0,0.0,2,0,1,878.87,0,False,False,True,0.05,Low,15794413
754,32,7,0.0,2,1,0,89520.75,0,False,True,False,0.0,,15650237
535,48,9,0.0,1,1,0,149892.79,1,False,False,False,0.95,High,15759618
716,42,8,0.0,2,1,0,180800.42,0,False,True,True,0.06,Low,15811589
539,37,2,127609.59,1,1,0,98646.22,0,False,False,True,0.02,Low,15689044
614,43,6,0.0,2,1,1,109041.53,0,False,False,False,0.01,Low,15709368
706,57,7,0.0,1,1,0,17941.16,1,False,True,True,0.92,High,15679145
758,33,7,0.0,2,0,0,82996.47,0,False,False,False,0.01,Low,15655007
586,28,2,0.0,2,1,1,92067.35,0,False,True,False,0.02,Low,15623595
646,73,6,97259.25,1,0,1,104719.66,0,False,False,False,0.01,Low,15589975
631,33,4,123246.7,1,0,0,112687.57,0,True,False,False,0.15,Low,15804017
717,22,6,101060.25,1,0,1,84699.56,0,False,True,False,0.02,Low,15692132
684,30,2,0.0,2,1,0,83473.82,0,False,False,True,0.02,Low,15641122
800,49,7,108007.36,1,0,0,47125.11,0,False,False,False,0.23,Low,15630910
721,36,2,0.0,2,1,1,106977.8,0,False,True,False,0.0,,15680772
683,29,0,133702.89,1,1,0,55582.54,1,False,True,True,0.74,High,15658929
660,31,9,125189.75,2,1,1,139874.43,0,True,False,True,0.02,Low,15585388
704,24,7,113034.22,1,1,0,162503.48,1,True,False,False,0.66,Medium,15724623
615,41,9,109013.23,1,1,0,196499.96,0,False,True,False,0.13,Low,15588537
667,39,2,0.0,2,1,0,40721.24,1,False,True,False,0.63,Medium,15574692
682,24,9,57929.81,2,0,0,53134.3,0,True,False,True,0.08,Low,15611325
484,29,4,130114.39,1,1,0,164017.89,0,False,False,False,0.03,Low,15587562
628,27,5,95826.49,2,1,0,155996.96,0,True,False,True,0.02,Low,15613172
480,44,10,129608.57,1,1,0,5472.7,1,True,False,True,0.86,High,15651022
578,30,4,169462.09,1,1,0,112187.11,0,False,False,True,0.01,Low,15586310
512,40,5,0.0,2,1,1,146457.83,0,False,False,True,0.0,,15625524
484,35,7,133868.21,1,1,1,27286.1,0,False,True,False,0.07,Low,15755209
510,30,0,0.0,2,1,1,130553.47,0,False,False,False,0.01,Low,15645248
606,36,5,190479.48,2,0,0,179351.89,0,True,False,True,0.06,Low,15790355
597,40,8,101993.12,1,0,1,94774.12,0,False,True,False,0.05,Low,15762615
754,55,3,161608.81,1,1,0,8080.85,1,True,False,False,0.97,High,15625426
850,45,2,122311.21,1,1,1,19482.5,0,False,True,False,0.16,Low,15716334
510,65,2,0.0,2,1,1,48071.61,0,False,False,True,0.02,Low,15789669
778,45,1,162150.42,2,1,0,174531.27,0,True,False,False,0.14,Low,15621075
636,42,2,0.0,2,1,1,55470.78,0,False,False,True,0.0,,15810845
804,50,4,0.0,1,1,1,8546.87,1,False,False,False,0.88,High,15719377
514,32,8,0.0,2,1,0,95857.18,0,False,False,True,0.02,Low,15654506
730,39,1,99010.67,1,1,0,194945.8,0,False,False,False,0.06,Low,15771977
525,37,0,0.0,1,0,1,131521.72,0,False,True,False,0.22,Low,15708710
616,30,5,0.0,2,0,1,196108.51,0,False,True,True,0.0,,15726676
687,34,7,111388.18,2,1,0,148564.76,0,True,False,False,0.06,Low,15587421
715,41,8,56214.85,2,0,0,92982.61,1,False,False,False,0.66,Medium,15726931
512,36,3,84327.77,2,1,0,17675.36,0,False,False,False,0.05,Low,15771086
479,40,1,0.0,2,0,0,114996.43,0,False,False,True,0.02,Low,15756850
601,32,8,93012.89,1,1,0,86957.42,0,False,False,True,0.0,,15702741
580,29,9,61710.44,2,1,0,128077.8,0,False,True,True,0.02,Low,15679200
807,35,3,174790.15,1,1,1,600.36,0,False,False,True,0.03,Low,15594815
616,32,6,0.0,2,1,1,43001.46,0,False,True,False,0.03,Low,15635905
721,37,3,107720.64,1,1,1,158591.12,0,True,False,True,0.16,Low,15777892
501,57,10,0.0,2,1,1,47847.19,0,False,False,True,0.07,Low,15656176
521,35,6,96423.84,1,1,0,10488.44,0,False,False,True,0.01,Low,15811127
850,30,2,141040.01,1,1,1,5978.2,0,False,True,True,0.03,Low,15604482
759,42,4,105420.18,1,0,1,121409.06,0,False,False,True,0.08,Low,15622911
516,50,5,0.0,1,0,1,146145.93,1,False,True,True,0.74,High,15600974
711,38,2,129022.06,2,1,1,14374.86,1,False,False,False,0.67,Medium,15727868
512,33,3,176666.62,1,1,0,94670.77,0,False,True,True,0.03,Low,15627801
550,37,3,0.0,1,1,1,179670.31,0,False,False,True,0.16,Low,15773039
608,41,3,89763.84,1,0,0,199304.74,1,False,True,False,0.79,High,15755262
618,34,5,134954.53,1,1,1,151954.39,0,False,False,True,0.0,,15679531
643,45,5,0.0,1,1,0,142513.5,1,False,False,True,0.82,High,15684181
671,45,2,106376.85,1,0,1,158264.62,0,False,False,True,0.11,Low,15612087
689,33,2,161814.64,2,1,0,169381.9,0,True,False,True,0.0,,15752047
603,31,8,0.0,2,1,1,169915.02,0,False,False,True,0.0,,15624592
620,41,9,0.0,2,0,0,88852.47,0,False,False,False,0.06,Low,15573152
676,34,1,63095.01,1,1,1,40645.81,0,False,False,False,0.04,Low,15594917
572,26,4,118287.01,2,0,0,60427.3,0,True,False,True,0.01,Low,15785542
668,47,7,106854.21,1,0,1,157959.02,1,True,False,True,0.87,High,15723488
695,46,7,49512.55,1,1,0,133007.34,0,False,False,True,0.12,Low,15680920
730,33,9,0.0,2,0,0,176576.62,0,False,True,False,0.02,Low,15786308
807,43,1,105799.32,2,1,0,34888.04,1,False,False,True,0.72,High,15659366
592,54,8,0.0,1,1,1,28737.71,1,False,False,True,0.74,High,15774854
726,31,9,114722.05,2,1,1,98178.57,0,False,False,False,0.0,,15725311
514,30,7,0.0,1,0,1,125010.24,0,False,True,True,0.15,Low,15787155
567,42,2,0.0,2,1,1,167984.61,0,False,False,True,0.01,Low,15727829
850,33,10,0.0,1,1,0,4861.72,1,False,False,True,0.72,High,15733247
671,45,6,99564.22,1,1,1,108872.45,1,True,False,True,0.73,High,15568748
670,37,4,170557.91,2,1,0,198252.88,0,False,False,True,0.05,Low,15699029
694,30,9,0.0,2,1,1,26960.31,0,False,False,False,0.01,Low,15774393
547,39,6,74596.15,3,1,1,85746.52,1,True,False,False,0.88,High,15676895
751,50,2,96888.39,1,1,0,77206.25,1,True,False,True,0.92,High,15637753
594,29,3,130830.22,1,1,0,61048.53,0,True,False,False,0.11,Low,15605461
673,72,1,0.0,2,0,1,111981.19,0,False,False,True,0.0,,15808473
610,40,0,0.0,2,1,0,62232.6,0,False,False,True,0.03,Low,15627000
512,37,1,0.0,2,0,1,156105.03,0,False,False,False,0.01,Low,15787174
767,20,3,119714.25,2,0,1,150135.38,0,True,False,True,0.06,Low,15723886
585,67,5,113978.97,2,0,1,93146.11,0,False,False,False,0.08,Low,15704769
763,42,6,100160.75,1,1,0,33462.94,1,True,False,True,0.71,High,15772896
712,29,2,0.0,1,1,1,144375.0,0,False,False,False,0.08,Low,15711540
539,43,3,116220.5,3,1,0,55803.96,1,True,False,False,1.0,High,15764866
668,46,2,0.0,3,1,0,89048.46,1,False,False,False,0.93,High,15794056
703,28,2,81173.83,2,0,1,162812.16,0,False,False,True,0.03,Low,15795149
662,38,4,0.0,2,1,0,136259.65,0,False,True,True,0.01,Low,15812009
725,39,5,116803.8,1,1,0,124052.97,0,True,False,False,0.19,Low,15651001
703,37,8,105961.68,2,0,1,74158.8,0,False,False,True,0.02,Low,15813844
659,67,6,117411.6,1,1,1,45071.09,1,True,False,True,0.69,Medium,15596175
523,34,7,0.0,2,1,0,62030.06,0,False,True,True,0.0,,15576269
635,40,10,123497.58,1,1,0,131953.23,1,False,False,False,0.33,Medium,15797219
772,26,7,152400.51,2,1,0,79414.0,0,True,False,True,0.02,Low,15685500
545,26,1,0.0,2,1,1,199638.56,0,False,False,False,0.03,Low,15599792
634,24,8,103097.85,1,1,1,157577.29,0,True,False,True,0.03,Low,15657566
739,54,8,126418.14,1,1,0,134420.75,1,True,False,True,0.95,High,15772423
771,36,5,77846.9,1,0,0,99805.99,0,True,False,False,0.15,Low,15628112
587,34,1,0.0,2,1,1,97932.68,0,False,True,False,0.02,Low,15753754
681,79,0,0.0,2,0,1,170968.99,0,False,False,False,0.04,Low,15793726
544,37,2,79731.91,1,1,1,57558.95,0,True,False,True,0.07,Low,15694717
696,28,8,0.0,1,0,0,176713.47,0,False,True,True,0.08,Low,15665834
766,41,0,0.0,2,0,1,34283.23,0,False,True,True,0.05,Low,15765297
727,34,10,0.0,2,1,1,198637.34,0,False,False,True,0.0,,15636684
671,34,6,37266.67,2,0,0,156917.12,0,True,False,False,0.01,Low,15592979
693,30,6,127992.25,1,1,1,50457.2,0,False,False,False,0.01,Low,15750803
850,38,3,54901.01,1,1,1,140075.55,0,True,False,True,0.09,Low,15607178
732,42,9,108748.08,2,1,1,65323.11,0,True,False,True,0.03,Low,15713853
726,48,6,99906.19,1,1,0,64323.24,0,False,True,False,0.24,Low,15673481
557,32,6,184686.41,2,1,0,14956.44,0,False,False,False,0.03,Low,15686776
682,26,0,110654.02,1,0,1,111879.21,0,False,False,False,0.06,Low,15673693
738,31,9,79019.8,1,1,1,18606.23,0,False,True,True,0.01,Low,15700696
531,36,9,99240.51,1,1,0,123137.01,0,False,True,False,0.19,Low,15813163
498,34,2,0.0,2,1,1,148528.24,0,False,False,True,0.0,,15653857
651,36,7,0.0,2,1,0,13898.31,0,False,False,True,0.02,Low,15777076
549,39,7,0.0,1,0,0,81259.25,1,False,True,False,0.82,High,15717398
791,35,7,52436.2,1,1,0,161051.75,0,True,False,False,0.06,Low,15799217
650,41,9,0.0,2,0,1,191599.67,0,False,True,True,0.02,Low,15787071
733,34,3,100337.96,3,1,0,48559.19,1,True,False,True,0.89,High,15619955
811,34,1,149297.19,2,1,1,186339.74,0,True,False,False,0.03,Low,15796505
707,30,8,0.0,2,1,0,33159.37,0,False,False,True,0.0,,15725166
712,28,4,145605.44,1,0,1,93883.53,0,True,False,True,0.05,Low,15800116
706,37,7,0.0,2,1,1,110899.3,0,False,True,False,0.01,Low,15758685
756,62,3,0.0,1,1,1,11199.04,1,False,False,True,0.81,High,15694456
777,53,10,0.0,2,1,0,189992.97,0,False,False,False,0.26,Low,15767339
646,35,6,84026.86,1,0,1,164255.69,0,False,False,True,0.01,Low,15683562
714,46,1,0.0,1,1,0,152167.79,1,False,False,True,0.9,High,15782210
782,39,8,0.0,2,1,1,33949.67,0,False,False,True,0.0,,15668893
775,29,10,0.0,2,1,1,68143.93,0,False,True,True,0.02,Low,15669169
479,35,4,138718.92,1,1,1,47251.79,1,True,False,True,0.78,High,15643024
807,42,7,118274.71,1,1,1,25885.72,0,False,False,True,0.05,Low,15699389
799,22,8,174185.98,2,0,1,192633.85,0,False,False,False,0.09,Low,15708608
675,40,7,113208.86,2,1,0,34577.36,0,False,False,True,0.02,Low,15626144
602,29,5,103907.28,1,1,0,161229.84,0,False,True,True,0.04,Low,15573112
475,32,8,119023.28,1,1,0,100816.29,0,False,False,False,0.05,Low,15790678
744,26,5,166297.89,1,1,1,181694.44,0,False,True,False,0.05,Low,15727556
588,34,10,0.0,2,1,0,79078.91,0,False,True,True,0.02,Low,15697307
703,42,9,63227.0,1,0,1,137316.32,0,True,False,True,0.3,Low,15652266
747,41,5,94521.17,2,1,0,194926.86,0,False,True,False,0.2,Low,15607098
583,27,7,0.0,2,1,0,51285.49,0,False,False,True,0.0,,15655774
750,34,9,112822.26,1,0,0,150401.53,1,False,True,False,0.65,Medium,15590241
681,38,3,0.0,2,1,1,112491.96,0,False,False,True,0.0,,15785819
773,25,2,135903.33,1,1,0,73656.38,0,False,False,True,0.05,Low,15723654
714,31,4,125169.26,1,1,1,106636.89,0,False,False,False,0.01,Low,15774510
687,44,7,0.0,3,1,0,155853.52,1,False,True,False,0.96,High,15684173
511,58,0,149117.31,1,1,1,162599.51,0,False,False,True,0.12,Low,15650068
627,33,5,0.0,2,1,1,103737.82,0,False,False,True,0.0,,15811490
694,31,10,0.0,2,1,0,160990.27,0,False,False,False,0.01,Low,15803976
616,36,6,132311.71,1,0,0,15462.84,0,False,True,False,0.02,Low,15682541
687,35,8,0.0,2,1,0,10334.05,0,False,False,True,0.0,,15695699
712,33,6,0.0,2,1,1,190686.16,0,False,False,False,0.0,,15624188
553,33,4,118082.89,1,0,0,94440.45,0,False,False,True,0.01,Low,15812191
667,31,1,119266.69,1,1,1,28257.63,0,False,False,True,0.0,,15636673
731,43,2,0.0,1,1,1,170034.95,1,False,False,True,0.65,Medium,15594898
629,35,7,156847.29,2,1,0,31824.29,0,True,False,True,0.03,Low,15660211
614,50,4,137104.47,1,1,0,127166.49,1,False,False,True,0.84,High,15773972
438,31,8,78398.69,1,1,0,44937.01,0,True,False,True,0.12,Low,15746726
652,80,4,0.0,2,1,1,188603.07,0,False,False,False,0.02,Low,15712287
729,30,6,63669.42,1,1,0,145111.37,0,True,False,True,0.06,Low,15702919
642,38,3,0.0,2,0,0,171463.83,0,False,False,True,0.02,Low,15674398
806,59,0,135296.33,1,1,0,182822.5,0,True,False,False,0.29,Low,15797960
744,36,2,153804.44,1,1,1,87213.33,0,False,True,True,0.01,Low,15631868
474,37,3,0.0,2,0,0,57175.32,0,False,True,True,0.06,Low,15581539
559,49,2,147069.78,1,1,0,120540.83,1,False,False,True,0.74,High,15662736
706,42,9,0.0,2,1,1,28714.34,0,False,True,True,0.02,Low,15666252
628,22,3,0.0,1,1,0,85426.28,0,False,True,False,0.32,Medium,15677512
429,24,4,95741.75,1,1,0,46170.75,0,False,False,True,0.05,Low,15626114
525,57,2,145965.33,1,1,1,64448.36,0,False,True,False,0.1,Low,15810834
680,30,8,141441.75,1,1,1,16278.97,0,False,False,False,0.06,Low,15678910
749,40,1,139290.41,1,1,0,182855.42,1,False,False,True,0.7,Medium,15694408
763,31,4,0.0,2,0,0,50404.72,0,False,False,False,0.02,Low,15585215
734,30,3,0.0,2,1,0,107640.25,0,False,False,True,0.0,,15682757
716,35,4,144428.87,1,1,0,134132.65,0,False,False,True,0.0,,15736601
594,35,2,0.0,2,1,0,103480.69,0,False,False,True,0.0,,15601848
644,46,9,95441.27,1,1,0,108761.05,1,False,False,False,0.87,High,15736008
671,35,1,144848.74,1,1,1,179012.3,0,True,False,True,0.08,Low,15669064
664,26,7,116244.14,2,1,1,95145.14,0,True,False,True,0.0,,15624528
656,50,7,0.0,2,0,1,72143.44,0,False,False,True,0.05,Low,15598493
667,40,1,146502.07,1,1,0,19162.89,0,False,True,False,0.09,Low,15601274
663,44,2,117028.6,2,0,1,144680.18,0,True,False,True,0.04,Low,15702669
584,30,8,112013.81,1,1,0,177772.03,1,True,False,False,0.41,Medium,15728669
626,37,6,108269.37,1,1,0,5597.94,0,False,True,False,0.14,Low,15742668
485,29,7,182123.79,1,1,0,116828.51,1,False,False,True,0.12,Low,15697441
659,32,3,150923.74,2,0,1,174652.51,0,True,False,False,0.03,Low,15740476
649,33,2,0.0,2,1,0,2010.98,0,False,False,True,0.0,,15648064
805,39,5,165272.13,1,1,0,14109.85,1,False,True,False,0.72,High,15636624
716,39,10,115301.31,1,1,0,43527.4,1,True,False,False,0.82,High,15807923
642,40,6,129502.49,2,0,1,86099.23,1,True,False,False,0.74,High,15745844
659,31,4,118342.26,1,0,0,161574.19,0,False,False,True,0.0,,15786170
